Nama Stasiun 	Provinsi 	Daerah Operasi/Divisi Regional 	Kode Stasiun 	Kondisi 	Keterangan
Aekloba 	Sumatera Utara 	Divire I Sumut dan Aceh 	AKB 	Aktif 	-
Alastuwa 	Jawa Tengah 	Daop IV Semarang 	ATA 	Aktif 	-
Ambarawa 	Jawa Tengah 	Daop IV Semarang 	ABR 	Non-Aktif 	Ditutup pada tahun 1976 dan menjadi sebuah museum kereta api.
Ancol 	DKI Jakarta 	Daop I Jakarta 	AC 	Aktif 	-
Andir 	Jawa Barat 	Daop II Bandung 	ADR 	Aktif 	-
Angke 	DKI Jakarta 	Daop I Jakarta 	AK 	Aktif 	-
Anyerkidul 	Banten 	Daop I Jakarta 	ANK 	Non-Aktif 	Stasiun Terminus.
Anyerlor 	Banten 	Daop I Jakarta 	ANL 	Non-Aktif 	-
Araskabu 	Sumatera Utara 	Divire I Sumut dan Aceh 	ARB 	Aktif 	Memiliki percabangan ke Bandar Udara Internasional Kualanamu
Arjawinangun 	Jawa Barat 	Daop III Cirebon 	AWN 	Aktif 	-
Arjasa 	Jawa Timur 	Daop IX Jember 	AJ 	Aktif 	-
B
Nama Stasiun 	Provinsi 	Daerah Operasi/Divisi Regional 	Kode Stasiun 	Kondisi 	Keterangan
Babadan 	Jawa Timur 	Daop VII Madiun 	BBD 	Aktif 	-
Babakan 	Jawa Barat 	Daop III Cirebon 	BBK 	Aktif 	-
Babat 	Jawa Timur 	Daop VIII Surabaya 	BBT 	Aktif 	Dahulu mempunyai cabang ke Tuban dan ke Jombang
Bagor 	Jawa Timur 	Daop VII Madiun 	BGR 	Aktif 	-
Bajalingge 	Sumatera Utara 	Divire I Sumut dan Aceh 	BJL 	Aktif 	-
Balega 	Jawa Timur 	Daop VIII Surabaya 	BGA 	Non-Aktif 	-
Balongbendo 	Jawa Timur 	Daop VIII Surabaya 	BLB 	Non-Aktif 	-
Balung 	Jawa Timur 	Daop IX Jember 	BUG 	Non-AKtif 	Dahulu mempunyai cabang ke Puger dan Ambulu yang menggunakan gauge 600 mm.
Bamban 	Sumatera Utara 	Divire I Sumut dan Aceh 	BMB 	Aktif 	-
Bandar Chalifah 	Sumatera Utara 	Divire I Sumut dan Aceh 	BAP 	Aktif 	-
Bandar Tinggi 	Sumatera Utara 	Divire I Sumut dan Aceh 	BDT 	Aktif 	Rencananya akan dibangun jalur kereta api dari stasiun ini ke Pelabuhan Kuala Tanjung
Banjar 	Jawa Barat 	Daop II Bandung 	BJR 	Aktif 	Dahulu mempunyai percabagan ke Pangandaran hingga Cijulang
Banjaran (ke Srg) 	Jawa Barat 	Daop II Bandung 	BJA 	Non-Aktif 	-
Banjaran (ke Ppk) 	Jawa Tengah 	Daop V Purwokerto 	BJN 	Non-Aktif 	-
Banjarkemantren 	Jawa Timur 	Daop VIII Surabaya 	BA 	Aktif 	-
Banjarnegara 	Jawa Tengah 	Daop V Purwokerto 	BA 	Non-Aktif 	-
Banjarsari (ke Llg) 	Sumatera Selatan 	Divire III Sumsel dan Lampung 	BJS 	Aktif 	-
Banjarsari (ke Cij) 	Jawa Barat 	Daop II Bandung 	BJI 	Non-Aktif 	-
Banjarsari (ke Ws) 	Jawa Tengah 	Daop V Purwokerto 	BJRS 	Non-Aktif 	Dahulu mempunyai cabang ke Purbalingga
Bandung 	Jawa Barat 	Daop II Bandung 	BD 	Aktif 	-
Bangil 	Jawa Timur 	Daop VIII Surabaya 	BG 	Aktif 	Dahulu mempunyai cabang ke Pandaan hingga Japanan
Bangilan 	Jawa Timur 	Daop IV Semarang 	BIA 	Non-Aktif 	-
Bangkalan 	Jawa Timur 	Daop VIII Surabaya 	BKL 	Non-Aktif 	Stasiun Terminus
Bangoduwa 	Jawa Barat 	Daop III Cirebon 	BDW 	Aktif 	-
Bangsalsari 	Jawa Timur 	Daop IX Jember 	BSS 	Aktif 	-
Banyuwangi Baru 	Jawa Timur 	Daop IX Jember 	BWB 	Aktif 	Stasiun Terminus
Banyuwangi Lama 	Jawa Timur 	Daop IX Jember 	BW 	Non-Aktif 	Stasiun Terminus
Barat 	Jawa Timur 	Daop VII Madiun 	BRT 	Aktif 	-
Baron 	Jawa Timur 	Daop VII Madiun 	BRN 	Aktif 	-
Batang 	Jawa Tengah 	Daop IV Semarang 	BTG 	Aktif 	-
Batang Kuis 	Sumatera Utara 	Divire I Sumut dan Aceh 	BTK 	Aktif 	-
Batuceper 	Banten 	Daop I Jakarta 	BPR 	Aktif 	-
Baturaja 	Sumatera Selatan 	Divire III Sumsel dan Lampung 	BTA 	Aktif 	-
Batutabal 	Sumatera Barat 	Divire II Sumatera Barat 	BTL 	Aktif 	-
Batutulis 	Jawa Barat 	Daop I Jakarta 	BTT 	Aktif 	-
Bayeman 	Jawa Timur 	Daop X Jember 	BTT 	Aktif 	-
Bayongbong 	Jawa Barat 	Daop II Bandung 	BYO 	Non-Aktif 	-
Bedono 	Jawa Tengah 	Daop IV Semarang 	BDN 	Non-Aktif 	Melayani kereta api wisata Ambarawa-Bedono pp.
Bekasi 	Jawa Barat 	Daop I Jakarta 	BKS 	Aktif 	-
Bekri 	Lampung 	Divire III Sumsel dan Lampung 	BKI 	Aktif 	-
Belatung 	Sumatera Selatan 	Divire III Sumsel dan Lampung 	BLT 	Aktif 	-
Belawan 	Sumatera Utara 	Divire I Sumut dan Aceh 	BLW 	Aktif 	Stasiun Terminus
Bendo 	Jawa Timur 	Daop VIII Surabaya 	BEO 	Non-Aktif 	-
Benowo 	Jawa Timur 	Daop VIII Surabaya 	BNW 	Aktif 	-
Benteng 	Jawa Timur 	Daop VIII Surabaya 	BET 	Aktif 	Stasiun Terminus
Besitang 	Sumatera Utara 	Divire I Sumut dan Aceh 	BSG 	Non-Aktif 	Dahulu memiliki percabagan ke Pangkalan Susu
Binjai 	Sumatera Utara 	Divire I Sumut dan Aceh 	BIJ 	Aktif 	Kearah utara, jalur kereta api masih ada sampai Besitang, Langsa, Lhokseumawe dan Banda Aceh. Jalur tersebut sudah non-aktif. Dahulu mempunyai cabang ke Kuala.
Blambanganpagar 	Lampung 	Divire III Sumsel dan Lampung 	BBA 	Aktif 	-
Blambanganumpu 	Lampung 	Divire III Sumsel dan Lampung 	BBU 	Aktif 	-
Blimbing (ke Ml) 	Jawa Timur 	Daop VIII Surabaya 	BMG 	Aktif 	Dahulu mempunyai cabang ke Tumpang
Blimbing (ke Llg) 	Sumatera Selatan 	Divire III Sumsel dan Lampung 	BIB 	Aktif 	-
Blitar 	Jawa Timur 	Daop VIII Surabaya 	BL 	Aktif 	-
Blora 	Jawa Tengah 	Daop IV Semarang 	BLA 	Non-Aktif 	Dahulu mempunyai percabangan ke Cepu
Bluluk 	Jawa Timur 	Daop VII Madiun 	BLK 	Non-Aktif 	-
Bojonegoro 	Jawa Timur 	Daop IV Semarang 	BJ 	Aktif 	Dahulu mempunyai percabangan ke Rembang
Bojong 	Jawa Barat 	Daop II Bandung 	BJ 	Aktif 	-
Bojonggede 	Jawa Barat 	Daop I Jakarta 	BJD 	Aktif 	-
Bojong Indah 	DKI Jakarta 	Daop I Jakarta 	BOI 	Aktif 	-
Bogor 	Jawa Barat 	Daop I Jakarta 	BOO 	Aktif 	-
Boharan 	Jawa Timur 	Daop VIII Surabaya 	BH 	Aktif 	-
Bondowoso 	Jawa Timur 	Daop IX Jember 	BO 	Non-Aktif 	-
Bonosare 	Jawa Timur 	Daop IX Jember 	BNS 	Non-Aktif 	-
Bowerno 	Jawa Timur 	Daop VIII Surabaya 	BWO 	Aktif 	-
Brambanan 	Jawa Tengah 	Daop VI Yogyakarta 	BBN 	Aktif 	-
Brebes 	Jawa Tengah 	Daop III Cirebon 	BB 	Aktif 	-
Bringin 	Jawa Tengah 	Daop IV Semarang 	BGN 	Non-Aktif 	-
Brumbung 	Jawa Tengah 	Daop IV Semarang 	BBG 	Non-Aktif 	-
Buaran 	DKI Jakarta 	Daop I Jakarta 	BUA 	Aktif 	-
Buduran 	Jawa Timur 	Daop VIII Surabaya 	BDU 	Aktif 	-
Bukitputus 	Sumatera Barat 	Divire II Sumatera Barat 	BKP 	Aktif 	-
Bukittinggi 	Sumatera Barat 	Divire II Sumatera Barat 	BKT 	Non-Aktif 	-
Bulakamba 	Jawa Tengah 	Daop III Cirebon 	BKA 	Non-Aktif 	-
Bulumanis 	Jawa Tengah 	Daop IV Semarang 	BIS 	Non-Aktif 	-
Bumiayu 	Jawa Tengah 	Daop V Purwokerto 	BMA 	Aktif 	-
Bumiwaluya 	Jawa Barat 	Daop II Bandung 	BMW 	Aktif 	-
Bungamas 	Sumatera Selatan 	Divire III Sumsel dan Lampung 	BGM 	Aktif 	-
Butuh 	Jawa Tengah 	Daop V Purwokerto 	BTH 	Aktif 	-
Buyaran 	Jawa Tengah 	Daop IV Semarang 	BYA 	Non-Aktif 	-
C
Nama Stasiun 	Provinsi 	Daerah Operasi/Divisi Regional 	Kode Stasiun 	Kondisi 	Keterangan
Cakung 	DKI Jakarta 	Daop I Jakarta 	CUK 	Aktif 	-
Cangkring 	Jawa Barat 	Daop III Cirebon 	CNK 	Aktif 	-
Caruban 	Jawa Timur 	Daop VII Madiun 	CRB 	Aktif 	-
Catang 	Banten 	Daop I Jakarta 	CT 	Aktif 	-
Cawang 	DKI Jakarta 	Daop I Jakarta 	CWG 	Aktif 	-
Cempaka 	Lampung 	Divire III Sumsel dan Lampung 	CEP 	Aktif 	-
Ceper 	Jawa Tengah 	Daop VI Yogyakarta 	CE 	Aktif 	-
Cepu 	Jawa Tengah 	Daop IV Semarang 	CU 	Aktif 	Dahulu mempunyai cabang ke Blora
Cepu Kota 	Jawa Tengah 	Daop IV Semarang 	CEK 	Non-Aktif 	-
Cerme 	Jawa Timur 	Daop VIII Surabaya 	CME 	Aktif 	-
Ciamis 	Jawa Barat 	Daop II Bandung 	CI 	Aktif 	-
Cianjur 	Jawa Barat 	Daop II Bandung 	CJ 	Aktif 	-
Ciawi 	Jawa Barat 	Daop II Bandung 	CAW 	Aktif 	-
Cibadak 	Jawa Barat 	Daop I Jakarta 	CBD 	Aktif 	-
Cibatu 	Jawa Barat 	Daop II Bandung 	CB 	Aktif 	Dahulu mempunyai cabang ke Garut hingga Cikajang
Cibeber 	Jawa Barat 	Daop II Bandung 	CBB 	Aktif 	-
Cibinong 	Jawa Barat 	Daop I Jakarta 	CBG 	Aktif 	Pernah non-aktif dan baru diaktifkan kembali
Cibitung 	Jawa Barat 	Daop I Jakarta 	CBT 	Non-Aktif 	-
Cibungur 	Jawa Barat 	Daop II Bandung 	CBR 	Aktif 	-
Cicalengka 	Jawa Barat 	Daop II Bandung 	CCL 	Aktif 	-
Cicayur 	Banten 	Daop I Jakarta 	CCY 	Aktif 	-
Cicurug 	Jawa Barat 	Daop I Jakarta 	CCR 	Aktif 	-
Ciganea 	Jawa Barat 	Daop II Bandung 	CA 	Aktif 	-
Cigombong 	Jawa Barat 	Daop I Jakarta 	CGB 	Aktif 	-
Cijambe 	Jawa Barat 	Daop I Jakarta 	CJB 	Aktif 	-
Cijulang 	Jawa Barat 	Daop II Bandung 	CIJ 	Non-Aktif 	Stasiun Terminus
Cikajang 	Jawa Barat 	Daop II Bandung 	CK 	Non-Aktif 	Stasiun Terminus
Cikadongdong 	Jawa Barat 	Daop II Bandung 	CD 	Aktif 	-
Cikampek 	Jawa Barat 	Daop I Jakarta 	CKP 	Aktif 	Mempunyai cabang ke Bandung. Dahulu mempunyai cabang ke Cilamaya yang menggunakan gauge 600 mm
Cikaum 	Jawa Barat 	Daop III Cirebon 	CKM 	Aktif 	-
Cikarang 	Jawa Barat 	Daop I Jakarta 	CKR 	Aktif 	-
Cikeusal 	Banten 	Daop I Jakarta 	CKL 	Aktif 	-
Cikini 	DKI Jakarta 	Daop I Jakarta 	CKI 	Aktif 	Sebelum menjadi stasiun layang, pernah mempunyai jalur cabang ke Salemba
Cikoya 	Banten 	Daop I Jakarta 	CKY 	Aktif 	-
Cikudapateuh 	Jawa Barat 	Daop II Bandung 	CTH 	Aktif 	Dahulu mempunyai cabang ke Ciwidey
Cilaku 	Jawa Barat 	Daop II Bandung 	CLK 	Aktif 	-
Cilame 	Jawa Barat 	Daop II Bandung 	CLE 	Aktif 	-
Cilacap 	Jawa Tengah 	Daop V Purwokerto 	CP 	Aktif 	Stasiun Terminus
Cilebut 	Jawa Barat 	Daop I Jakarta 	CLT 	Aktif 	-
Ciledug 	Jawa Barat 	Daop III Cirebon 	CLD 	Aktif 	-
Cilejit 	Jawa Barat 	Daop I Jakarta 	CJT 	Aktif 	-
Cilegeh 	Jawa Barat 	Daop III Cirebon 	CLH 	Aktif 	-
Cilegon 	Banten 	Daop I Jakarta 	CLG 	Aktif 	-
Cimahi 	Jawa Barat 	Daop II Bandung 	CMI 	Aktif 	-
Cimekar 	Jawa Barat 	Daop II Bandung 	CMR 	Aktif 	-
Cimindi 	Jawa Barat 	Daop II Bandung 	CMD 	Aktif 	-
Cipari 	Jawa Tengah 	Daop V Purwokerto 	CPI 	Aktif 	-
Cipatat 	Jawa Barat 	Daop II Bandung 	CPT 	Aktif 	-
Cipeuyeum 	Jawa Barat 	Daop II Bandung 	CPY 	Aktif 	-
Cipeundeuy 	Jawa Barat 	Daop II Bandung 	CPD 	Aktif 	-
Cipinang 	DKI Jakarta 	Daop I Jakarta 	CPN 	-
Cipunegara 	Jawa Barat 	Daop III Cirebon 	CRA 	Aktif 	-
Ciputrapinggan 	Jawa Barat 	Daop II Bandung 	CPP 	Non-Aktif 	-
Cirahayu 	Jawa Barat 	Daop II Bandung 	CAA 	Aktif 	-
Ciranjang 	Jawa Barat 	Daop II Bandung 	CRJ 	Aktif 	-
Cirebon 	Jawa Barat 	Daop III Cirebon 	CN 	Aktif 	Dahulu mempunyai cabang ke Kadipaten
Cirebon Prujakan 	Jawa Barat 	Daop III Cirebon 	CNP 	Aktif 	Mempunyai cabang ke Purwokerto. Dahulu mempunyai cabang ke Pelabuhan Cirebon
Cireungas 	Jawa Barat 	Daop II Bandung 	CRH 	Aktif 	-
Ciroyom 	Jawa Barat 	Daop II Bandung 	CIR 	Aktif 	-
Cisaat 	Jawa Barat 	Daop I Jakarta 	CSA 	Aktif 	-
Cisauk 	Banten 	Daop I Jakarta 	CSK 	Aktif 	-
Cisomang 	Jawa Barat 	Daop II Bandung 	CG 	Aktif 	-
Cisurupan 	Jawa Barat 	Daop II Bandung 	CSN 	Non-Aktif 	-
