100
583475538 138552 53
540 324459069 460094966 13201977
2209 77207435 41631214 333478605
499 244244131 257431616 569495713
566 468268622 475362112 212369673
2520 167662878 541707029 39428352
1304 164320605 40211764 63193593
1015 580026864 128523673 407822172
2196 17804967 37421986 294736295
1041 581749911 408214268 385771863
2352 85402334 201395331 409651035
1990 98463842 242886288 93496689
2679 21908397 577689343 360032915
2441 245256729 311092314 476187309
1852 28186398 346203825 294193382
2388 575497235 527503526 277122680
1627 412069513 169624067 285105807
2366 451050422 575774594 68461987
2978 137385185 243100822 403978647
667 483102563 255965624 341576418
1614 104717121 464001606 564746935
2508 155569341 89200223 297365399
1741 473570699 97027259 162021514
1267 45895749 141818066 288078695
1967 422653097 80697137 572617295
1850 127808046 123741540 302358078
3315 60880801 416431938 396414615
202 464571515 551888527 149079657
1377 194119231 203116463 4478089
2560 432508767 266432928 432210310
2706 555877701 240903081 303952266
2733 576413095 167387206 269567145
3126 18615487 378755047 238676219
2267 371421726 426008875 356767671
389 283699888 78642115 200288716
1199 102315845 218643220 540806562
3007 531338082 186257327 295125397
877 333986673 253290549 569731706
3719 65998671 481017188 347177346
3249 214601245 183091120 466712663
1860 556289452 146622918 171889405
4569 154776786 22064680 497638052
4740 34305265 391952574 344801566
1912 329864702 363872025 198097841
1828 48400698 330869532 47799570
5007 180586964 139854790 334278187
635 334205645 425847120 154602818
3915 157242263 232251693 530947945
350 67639012 26132536 407014652
1633 410826506 212408210 27797866
3973 304296996 199071879 582991378
7329 271017025 289561169 164649964
724 118294162 394221048 239397214
25174 473962030 105104784 467919172
945031537 118385 2
17804 330374311 1 11
100581 771799390 1 945031525
837414689 52937 6
2203 138515693 447023397 173745594
3444 832040307 493119084 507489645
8197 530928553 722618886 347062371
9244 231562340 75762158 255223767
59 387068094 657676538 462886013
29790 631958887 608695693 749185681
488828105 71165 65
779 381704882 161075686 228687287
436 177793164 381521574 73079492
985 473680810 99027173 328654976
1108 202483241 56022901 451081584
596 482921474 231370281 242201739
622 406429104 204494875 30392368
692 321399136 287872603 475890029
520 283434702 374729824 357407423
619 103588402 122373065 382199051
682 43584882 446881407 111106422
511 370870567 17282182 174696603
1105 224495174 327791575 318989292
330 46556102 221738791 235775999
230 275276337 20724360 313252741
765 141045563 287464367 434998861
1071 295641423 455831639 266523070
555 15418747 422249039 343880175
228 402631628 277150305 316616906
96 83386828 25971511 288320563
985 296806298 127720722 63197737
1071 393263710 253651633 267619997
1291 213711961 246969573 299437159
5 124460726 179482769 410820238
335 190084713 52858107 286563435
727 97121131 135167581 377576258
357 165881212 209881295 285435118
54 278812812 199019350 478984132
925 312045256 231698078 453201165
