350
47 790
23 25 62348
30 39 112620
47 21 138289
38 11 74499
13 45 119109
8 9 139614
10 30 172231
17 8 31921
29 17 41019
31 18 162433
21 4 132512
19 6 27972
25 29 106478
17 7 79893
15 35 117899
8 19 74347
31 39 166889
8 39 104214
33 4 150852
8 2 114826
3 12 146834
21 41 99167
31 47 157726
13 27 340
36 30 58106
10 12 190315
34 14 58084
26 25 89598
11 5 139189
18 25 86287
19 18 160911
20 42 31173
36 2 126140
45 30 102822
19 45 88673
37 24 122660
18 40 181229
5 2 86337
37 15 37786
15 30 127615
24 38 92472
33 24 122813
16 7 63630
45 24 135653
46 29 106916
25 39 92997
45 8 114821
42 8 38611
9 19 136955
12 6 169763
14 30 2692
37 16 98206
26 42 83686
44 32 93128
47 25 112552
7 25 14331
40 17 58191
24 1 113026
45 35 120288
8 36 91645
34 3 109316
35 6 66803
30 16 36621
1 39 65580
12 45 153085
37 14 92521
31 26 170288
23 35 121361
21 14 106488
25 6 102596
33 22 140171
13 24 16544
38 13 75928
24 30 34148
35 37 80249
6 13 97188
39 26 3399
46 30 116576
13 37 106116
19 26 33266
45 38 71143
5 37 122647
33 25 130685
17 26 139534
20 30 36084
2 37 47555
13 39 115809
33 10 141937
25 41 70936
6 8 46725
24 20 50766
8 30 38705
4 23 73862
3 38 82721
10 19 103235
44 36 166733
47 32 138968
42 43 99879
9 29 132509
37 1 102536
21 1 136248
14 28 58358
21 25 110608
8 32 6288
21 36 122787
42 38 73532
31 10 207208
35 29 133311
17 35 102635
41 8 72247
5 12 96902
45 17 143135
7 13 10085
34 17 108276
18 5 163351
41 14 98201
25 20 58638
12 13 80824
39 43 141402
28 10 154734
16 18 116096
42 21 129737
22 32 78077
18 36 103053
27 16 53885
38 1 118559
46 43 121955
37 4 59796
27 44 137643
24 19 115584
1 43 133998
45 15 105202
24 32 60729
7 24 26629
41 31 134922
7 33 116354
8 33 55806
38 32 92058
32 10 171980
34 16 92013
41 27 95012
31 8 62675
42 5 130461
43 28 88030
47 12 135226
8 11 65918
45 26 56566
11 13 37709
43 6 117314
35 34 55351
33 14 91819
20 14 33392
47 3 96792
32 5 96066
16 6 116667
30 6 85430
31 45 175585
43 29 15039
7 14 29701
30 40 101754
31 22 134464
33 6 97831
18 46 176266
34 46 152863
36 3 117635
7 28 88059
44 4 175277
40 4 145554
6 4 80692
11 7 47794
43 2 130790
32 20 63127
28 38 120691
18 42 127266
39 23 119832
14 24 36840
26 12 133703
36 19 105000
44 3 116802
15 13 143902
41 39 113923
35 40 116139
1 29 118959
4 41 49032
47 8 132680
8 16 69942
29 8 72940
20 33 125230
13 26 112410
26 1 62181
21 18 123063
10 39 73368
21 8 126972
13 17 69808
31 46 199996
11 33 121724
3 2 100088
43 15 159273
45 10 126563
3 22 96713
13 10 155307
38 39 52979
