150
27 907
28 0 586
65 34 907
49 225 907
29 0 857
9 270 907
74 237 907
36 599 907
0 167 907
33 499 907
52 0 670
71 6 907
22 58 907
20 431 907
11 41 907
4 379 907
39 9 907
62 199 403
27 278 907
55 607 907
72 366 733
2 0 539
41 223 907
38 0 851
50 371 700
76 0 685
19 0 702
10 0 845
27 650
98 193 650
60 0 325
73 0 358
12 0 548
81 0 414
22 320 650
53 199 474
90 0 612
27 242 650
66 0 495
13 0 648
9 104 598
91 437 650
68 51 650
103 8 650
21 95 650
49 0 315
104 501 644
83 0 377
99 0 558
56 0 628
72 0 190
41 350 650
28 437 648
1 355 650
95 0 510
32 170 650
14 312
41 0 295
7 28 312
40 78 238
60 33 312
33 87 312
37 203 312
71 12 298
79 109 236
74 0 222
3 21 312
66 0 290
70 0 204
48 158 312
26 93 312
31 605
54 0 392
18 283 605
3 0 472
46 57 230
23 346 605
55 324 605
57 308 605
61 153 469
24 322 605
36 0 312
84 74 323
25 33 605
41 170 605
28 0 304
8 329 605
56 0 556
59 10 605
79 274 557
10 227 605
0 0 580
30 84 213
71 0 585
34 137 605
49 14 605
32 0 595
76 0 516
48 0 326
19 0 311
9 445 605
58 207 605
15 0 571
23 201
12 24 94
93 3 201
84 34 201
4 0 188
40 0 187
3 25 201
24 0 166
95 0 194
6 39 201
75 0 60
104 85 201
101 0 158
34 0 192
80 0 195
79 138 201
0 0 131
7 119 201
102 64 194
11 0 101
57 93 201
9 6 201
73 0 134
77 20 201
50 100000
0 1 100000
1 0 99999
2 1 100000
3 0 99999
4 1 100000
5 0 99999
6 1 100000
7 0 99999
8 1 100000
9 0 99999
10 1 100000
11 0 99999
12 1 100000
13 0 99999
14 1 100000
15 0 99999
16 1 100000
17 0 99999
18 1 100000
19 0 99999
20 1 100000
21 0 99999
22 1 100000
23 0 99999
24 1 100000
25 0 99999
26 1 100000
27 0 99999
28 1 100000
29 0 99999
30 1 100000
31 0 99999
32 1 100000
33 0 99999
34 1 100000
35 0 99999
36 1 100000
37 0 99999
38 1 100000
39 0 99999
40 1 100000
41 0 99999
42 1 100000
43 0 99999
44 1 100000
45 0 99999
46 1 100000
47 0 99999
48 1 100000
49 0 99999
35 256
62 0 199
119 0 245
30 0 84
52 42 256
66 72 256
98 98 256
46 50 256
82 37 256
71 23 256
64 0 228
111 56 256
88 86 256
100 0 135
81 15 256
112 0 205
12 19 256
10 0 231
116 109 256
27 52 256
91 150 236
17 0 178
90 50 256
42 72 218
32 0 176
16 42 256
2 0 180
24 55 256
93 1 256
102 0 111
75 116 202
34 0 227
13 41 256
95 0 220
9 77 256
109 0 236
2 445
86 0 124
49 0 322
5 201
40 38 85
12 0 163
25 1 50
31 108 201
62 0 123
20 680
28 0 552
110 352 586
117 301 680
67 2 680
127 26 680
111 123 560
101 321 680
118 17 339
108 57 477
102 0 486
106 160 680
16 0 391
37 0 668
79 71 680
7 156 680
14 352 680
22 161 665
68 40 680
4 80 680
36 0 519
2 100
1 0 49
1 50 100
9 414
100 283 414
4 79 383
67 74 414
37 0 307
80 66 414
63 80 291
89 0 409
77 73 414
12 0 390
11 866
52 0 805
3 65 866
28 61 866
19 0 849
29 0 276
16 585 818
13 0 493
58 63 866
26 401 676
38 0 400
36 0 720
1 1
1 0 1
22 264
59 0 183
80 124 264
105 0 164
53 189 264
42 0 243
27 3 119
108 24 264
23 82 264
56 0 242
0 6 264
67 0 249
34 56 216
41 85 154
58 0 112
30 0 186
65 65 198
117 0 218
89 0 203
51 0 264
102 0 243
66 120 264
120 109 221
24 938
63 138 938
42 0 668
55 171 895
58 413 938
39 253 703
48 0 649
64 0 474
7 270 938
12 143 938
2 0 897
22 0 807
28 194 938
60 575 938
53 111 938
24 65 938
51 0 378
52 0 628
46 114 597
8 0 835
41 416 694
4 305 938
47 17 938
16 188 938
59 5 444
42 951
20 0 928
57 228 951
74 123 951
63 0 429
1 397 951
81 12 764
35 0 906
43 668 865
65 504 951
71 294 951
44 578 951
90 586 893
9 38 951
34 0 888
3 0 436
83 256 631
0 0 951
5 44 711
38 68 510
21 4 951
15 11 473
13 249 705
29 0 916
18 250 951
59 612 951
30 0 890
42 0 933
78 0 615
70 667 873
68 141 407
16 0 684
56 0 721
66 0 951
3 532 951
36 510 840
77 38 951
17 56 768
82 0 945
67 109 951
61 334 531
2 0 794
70 171 409
28 480
37 55 480
30 45 480
40 279 480
39 165 480
25 0 242
16 49 480
32 0 359
4 0 477
3 50 480
24 0 390
12 52 480
36 0 460
22 0 422
31 4 480
18 78 461
13 54 480
10 0 424
19 79 480
27 0 441
17 322 480
43 158 480
35 0 299
0 143 362
5 0 336
26 0 277
20 0 458
9 0 439
34 248 480
16 819
76 0 357
15 141 819
45 0 556
61 275 819
18 214 819
49 0 507
68 0 412
23 0 679
49 554 819
81 45 285
35 0 482
34 230 442
82 39 819
42 328 819
10 438 819
59 141 771
50 96508
100000 32882 93677
59922 43895 78779
48315 0 91466
32175 0 89598
28528 11643 96508
15318 0 25499
55353 27219 96508
54992 2942 96508
13887 16222 54956
10634 2916 96508
2102 0 24532
67776 30369 60023
41676 42268 96508
60835 44598 96508
37004 70274 95720
61534 75305 94960
44984 10510 96508
58581 28259 96508
27753 6216 32533
9541 1784 21778
59786 0 45375
93771 48077 96508
44584 0 55645
36499 29389 96508
79449 71921 91624
80255 2579 96508
15361 67731 96508
9466 0 90017
74756 0 75314
38462 0 69152
98631 0 34467
15935 47795 89829
36500 0 86218
88905 0 67419
41475 6323 96508
90840 49406 96508
18687 0 87227
11938 0 67274
28684 49605 96508
4507 0 62901
76550 67291 96508
26974 0 85833
68073 20815 96508
19986 60220 96508
47414 0 63611
87381 50744 96508
66492 0 61969
33838 8120 96508
79373 18549 96508
41142 0 52462
39 282
34 44 282
22 0 140
15 0 135
31 0 243
54 16 282
43 110 242
45 0 270
11 0 130
2 0 103
42 0 199
49 0 191
20 0 138
1 0 282
58 164 282
6 0 156
27 0 282
26 109 267
29 0 197
17 0 156
24 155 282
23 134 282
32 0 217
33 65 161
30 0 183
12 0 244
39 7 282
18 20 282
52 0 151
46 149 282
3 0 247
8 1 195
14 141 258
55 6 282
10 0 245
14 0 104
16 0 250
41 0 107
59 0 131
0 0 276
33 449
67 68 318
0 49 449
89 0 328
30 159 449
39 66 449
5 0 439
26 7 449
100 52 238
19 278 449
63 205 449
31 0 230
49 65 449
29 0 387
24 21 449
84 0 240
81 225 376
13 50 394
64 73 449
98 328 449
18 0 388
65 26 449
46 52 449
10 18 449
23 129 449
86 196 449
8 26 449
1 250 449
87 0 342
53 30 449
33 0 211
78 4 449
100 257 449
28 31 427
45 169
17 0 148
2 0 116
34 0 164
8 0 147
27 51 169
44 94 169
63 55 169
14 106 169
33 0 94
40 0 161
6 125 169
5 68 169
48 0 52
38 27 169
50 0 69
24 0 159
52 9 169
66 40 156
62 0 153
31 81 116
15 5 67
12 69 164
45 0 67
54 0 112
20 0 125
47 0 89
58 0 112
43 88 169
46 66 169
36 0 163
10 63 169
22 15 122
7 25 97
28 76 169
55 26 169
56 35 169
25 0 96
13 108 169
1 66 130
11 0 125
23 0 121
57 0 166
35 53 169
29 0 134
30 91 169
49 808
91 346 691
11 453 801
60 0 566
50 70 808
89 243 808
14 285 808
6 55 392
66 0 767
23 84 808
1 0 647
35 159 808
12 0 255
51 106 808
69 472 808
34 0 610
20 0 515
59 262 808
48 71 808
110 164 808
121 0 540
57 0 548
3 436 808
103 18 808
107 71 651
73 536 808
123 535 808
93 95 808
72 411 640
113 0 805
92 235 808
29 0 381
31 241 808
77 0 473
85 0 646
112 176 731
7 0 746
65 363 788
41 0 538
99 65 808
42 0 326
19 0 603
39 0 549
21 0 649
116 0 704
70 296 808
117 0 677
105 0 774
32 424 808
76 129 808
49 671
81 0 656
34 168 671
60 284 671
105 0 573
106 52 407
74 0 624
80 26 237
26 173 671
75 135 671
24 215 671
77 0 407
0 384 670
28 0 389
92 0 651
57 96 626
5 0 598
100 92 371
62 91 671
47 47 671
27 514 671
71 0 539
41 85 607
84 254 520
38 0 555
35 143 405
20 0 321
49 0 563
98 0 257
67 188 671
7 61 671
14 73 671
78 0 579
16 179 656
91 52 558
107 0 614
54 0 452
27 0 508
4 231 671
110 0 642
73 0 632
70 170 671
90 148 671
13 253 483
15 0 642
93 205 671
83 0 630
1 476 671
23 132 671
64 250 671
40 202
28 0 192
69 0 192
51 0 191
32 3 202
49 0 107
25 0 165
74 0 94
36 0 163
63 86 202
6 40 167
66 32 150
82 0 185
40 0 188
60 25 188
18 112 156
0 0 156
43 22 202
91 53 202
4 37 121
1 56 202
38 96 177
62 59 202
22 0 192
86 44 202
37 26 202
47 16 202
2 2 102
20 0 183
55 12 202
71 74 134
39 0 84
68 148 202
83 55 202
79 96 202
58 69 202
90 46 120
33 0 180
23 0 200
81 0 65
35 20 202
50 96650
100000 69037 96650
25487 0 86237
39640 0 52868
29771 29890 96650
22707 8244 96650
30066 0 53533
55320 16053 96650
87888 0 88982
67877 0 87623
33157 52756 80956
61094 0 94840
94917 8695 86597
64098 13611 96650
35233 10140 96650
57021 0 84064
93234 29203 96650
75342 31997 96650
41840 0 86462
418 22082 96650
15681 41422 96650
29233 0 55240
42599 17018 96650
94142 29713 52961
80948 0 94101
50183 0 86687
18125 38871 96650
29812 31305 96595
95970 14654 96650
91047 0 93274
59496 35224 96650
52807 14419 72171
26683 6478 96650
2970 0 91157
50652 0 78889
11420 20710 96650
2463 0 73200
88708 0 76942
49448 1574 31434
22640 0 95838
48806 10854 96650
59667 32024 96650
69108 0 87094
26785 69041 95222
78582 0 43910
36803 0 87114
57888 0 86823
30038 28416 68768
65727 42994 96650
60454 0 58557
12124 11764 96650
47 652
38 0 468
8 80 652
32 91 652
11 481 645
49 0 545
60 0 298
42 35 652
40 0 586
25 0 529
54 310 652
50 269 652
14 0 394
57 12 262
20 0 646
19 0 556
61 77 652
45 0 401
62 111 652
30 458 620
6 254 620
12 0 442
9 0 419
46 246 652
14 449 652
58 153 589
48 0 443
51 231 652
1 167 362
10 92 551
47 0 629
26 153 652
34 442 638
24 447 627
36 180 652
59 0 266
29 283 652
22 244 652
9 422 618
27 0 510
13 0 444
23 227 630
18 157 652
15 285 652
28 0 373
63 150 472
64 0 601
4 59 652
41 372
5 0 204
36 0 316
0 6 372
68 0 215
38 0 283
27 105 372
16 216 339
47 0 263
14 79 372
11 43 329
10 142 338
49 64 265
44 44 372
65 23 372
40 0 233
19 167 348
35 0 143
69 0 328
54 0 305
17 164 246
64 96 372
62 31 372
50 0 285
18 9 127
45 39 277
43 0 251
32 173 372
9 0 326
28 0 351
66 42 372
51 20 254
53 11 128
24 0 220
18 220 362
39 0 221
6 59 372
60 0 271
55 8 372
37 0 212
32 0 124
46 257 372
50 99837
100000 0 95815
93913 0 66977
2104 17849 99837
48320 49218 99837
7304 0 80739
43258 16624 61903
72280 0 70319
71766 59713 99837
57014 0 46914
78458 8080 99837
58255 15169 62119
82680 0 60629
82281 0 88526
83391 0 67590
15494 25510 51765
43151 0 79307
41441 0 89911
92180 0 75850
75545 0 76272
86796 34804 87458
16858 0 77438
58711 62767 99837
8106 40721 99837
69693 43016 99837
98413 53867 99837
91880 74245 95247
61423 0 48298
43982 46526 69398
6568 0 78679
87471 69091 99837
92154 45282 99837
22638 0 55238
35028 0 47487
53516 29177 99837
2037 46741 99837
63782 0 75575
55030 0 94078
26792 0 63517
69823 16452 99837
75893 0 88108
12290 0 99360
41477 11793 99837
95930 46512 99837
15996 0 76999
22406 21739 99837
67211 0 35852
68589 5451 99837
2600 42828 99837
85115 0 58234
21559 32038 99837
27 176
2 9 176
57 7 78
19 79 176
3 56 101
39 0 170
16 31 176
59 0 75
20 116 160
1 54 176
28 0 123
0 37 77
31 8 176
8 0 37
34 20 176
53 24 112
42 0 142
46 0 171
63 90 176
56 74 176
4 82 176
29 0 164
11 68 176
9 46 176
47 89 151
15 0 135
36 0 140
37 8 176
46 903
71 239 903
8 0 871
67 0 551
45 0 524
57 0 434
77 0 628
87 0 326
54 0 797
30 448 903
72 423 903
37 29 903
76 562 854
70 108 903
55 0 362
79 0 744
74 0 582
61 248 903
29 0 774
86 489 903
0 0 674
22 102 903
101 0 260
56 90 354
56 613 903
27 0 717
46 57 903
19 0 622
13 26 317
14 20 903
26 4 903
2 0 686
50 0 657
89 106 890
80 159 903
97 0 862
85 460 903
28 63 903
53 118 903
65 0 757
6 414 903
25 161 903
96 0 418
1 0 863
35 0 431
49 0 809
31 0 829
41 565
22 0 509
94 0 364
65 0 341
64 22 565
127 8 565
112 0 183
43 266 565
0 312 565
8 93 565
95 92 565
88 0 465
69 0 204
70 43 565
124 207 565
146 308 565
123 0 198
92 48 565
67 89 321
109 336 565
80 203 565
106 226 518
136 286 565
128 0 507
126 48 527
51 0 329
68 0 561
45 0 474
107 67 565
12 254 522
42 161 385
140 89 382
148 246 565
20 0 307
23 0 303
121 105 565
26 0 486
17 0 367
54 0 524
135 0 519
91 0 421
111 0 262
3 9
33 0 6
66 0 9
99 3 9
48 294
93 93 294
84 157 294
11 164 293
4 0 287
17 0 211
37 0 224
44 106 294
26 55 294
43 110 294
81 18 242
72 0 244
14 30 294
101 127 294
96 124 184
106 98 294
68 0 234
78 30 294
12 214 294
41 0 256
19 88 294
