Jakarta Gudang JAKG
Jakarta Kota JAKK
Jambai JBI
Jamblang JBG
Jambon JBO
Jambu JMB
Japanan JPN
Jati JI
Jatibarang JTB
Jatinegara JNG
Jatirogo JTG
Jatiroto JTR
Jatiwangi JWG
Jayakarta JYK
Jember JR
Jemursari
Jenar JN
Jepon JON
Jerakah JRK
Jeruklegi JRL
Jetis JS
Jombang Kota JGK
Juana JU
Juanda JUA
Jurangmangu JMU
Kacang Kcn
Kadipaten Kad
Kadokangabus Kab
Kadukacang Kdk
Kalasan Kls
Kalibalangan Kag
Kalibaru Kbr
Kalibodri Kbd
Kalideres Kds
Kalimas Klm
Kalioso Ko
Kalipucung Klc
Kalisat Klt
Kalisetail Kls
Kalitidu Kit
Kaliwedi Klw
Kaliwungu Kln
Kamal Kml
Kambangan Kbg
Kampungbandan Kpb
Kampungbaru Kmu
Kandangampat Kdp
Kandangan Kda
Kanigoro Kno
Kapas Kps
Kapuan Kpa
Karangasem Kne
Karanganyar Ka
Karangantu Kra
Karangenda Ked
Karangjati Kgt
Karanggandul Kgd
Karangkandri Kkd
Karangpilang Kap
Karangpucung Knp
Karangsari (ke Bd) Krai
Karangsari (ke Pwt) Krr
Karangsono Kso
Karangsuwung Krw
Karangtalun I Kun
Karangtalun II Krl
Karang Tengah Ke
Karawang Kw
Karet KAT
Kartasura Ksr
Kasiyamlor Kyr
Kasugihan Kh
Kawunganten Kwg
Kayutanam Ktn
Kebayoran Kby
Kebasen Kbs
Kebonromo Kro
Keboharan Kbs
Kebumen Km
Kedinding Kdn
Kediri Kd
Kedundang Kdg
Kedungbanteng Kdb
Kedungdung Kdu
Kedungjati Kej
Kedunggalar Kg
Kedunggedeh Kdh
Kedungpring Kei
Kemayoran Kmo
Kemijen Kme
Kemiri Kmr
Kemranjen Kj
Kendal Kl
Kendalpayak Kdy
Kencong Knc
Kepanjen Kpn
Kertapati Kpt
Kertasemaya Ktm
Kertomenanggal
Kertosono Kts
Kesamben Ksb
Ketandan Ket
Ketanggungan Kgg
Ketanggungan Barat Kgb
Ketapang Ktp
Kiaracondong Kac
Kisaran Kis
Klakah Kk
Klampok Klp
Klari Kli
Klaten Kt
Klender Kld
Klender Baru Kldb
Kosambi Kos
Kotabaru Kob
Kotabumi Kb
Kotapadang Kop
Kotok Ktk
Kradenan Knn
Kraksaan Kr
Kramat Kmt
Kranji Kri
Kras Krs
Kraton Kn
Krengseng Kns
Krenceng Ken
Kretek Krt
Krian Krn
Kricak Kck
Krikilan Kkl
Kroya Kya
Kruwul Kru
Kuala Namu Knm
Kuala Begumit Kug
Kubukrambil Kkr
Kudaile
Kudus' Kud
Kunduran Kdr
Kuraitaji Ki
Kuripan Krp
Kutoarjo Kta
Kutowinangun Kwn
Kuwu Ku
Kwanyar Kwr
Labang Lab
Labruk Lbk
Labuan Lbn
Labuhan Lbu
Labuanratu Lar
Lahat Lt
Laju Lj
Lamongan Lmg
Lampegan Lp
Langen Ln
Larangan (ke Smt) Lr
Larangan (ke Pwt) Lra
Lasem Ls
Laut Tador Ltd
Lawang Lw
Lebak Jero Lbj
Lebeng Lbg
Leces Lec
Ledokombo Ldo
Legok Lgk
Leles Le
Lemahabang Lmb
Lembak Leb
Lempuyangan Lpn
Lenteng Agung Lta
Lidahtanah Ldt
Limapuluh Lmp
